noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
1,1,1,25,10.9748888,0,8,70,6,30,0.00113391876,27.3045044,1.23213959,1.46753335,0.186097413,-0.4813723,0.943134964,0.8503084,-0.0200689957,-0.9720793,-0.233792886,-0.974609554,0.0439283624,-0.219560236,0.219560236
0,0,10,26,11.3082228,0,8,70,12,30,0.0279493332,25.1707973,1.26647329,1.208263,0.0616500378,0.238723814,1.98031628,1.45744073,0.03594319,0.9780848,-0.205080837,0.9939359,-0.03316611,0.104839727,0.104839727
1,4,4,27,11.4193335,0,8,70,10,30,0.0145483017,22.8293552,1.20050025,1.42141187,0.09178686,-0.8267004,1.53570759,1.19363844,-0.593678653,0.800905764,0.0780741945,0.798585355,0.5668994,0.202204168,0.202204168
0,6,1,28,11.6415558,0,8,70,10,30,0.0286407471,21.7286072,1.25698078,1.42431617,0.09000534,-0.3677188,0.9904009,1.44875276,-0.6037776,-0.749538958,-0.2713742,-0.7523861,0.646752954,-0.125003263,0.125003263
1,7,2,29,11.8637781,0,8,70,12,30,0.0151453018,28.813221,1.47952509,1.15348685,0.0606930256,0.327649117,0.9878721,1.18562329,0.8754193,-0.40371564,-0.265809447,-0.4555565,-0.884510934,-0.100544021,0.100544021
0,5,7,30,12.086,0,8,70,11,30,0.028383255,21.7588634,1.26546288,1.46878254,0.0708379745,0.9356001,1.41964579,1.45465314,0.8722049,0.467027247,0.145410687,0.5025566,-0.852729738,-0.142440379,0.142440379
1,4,4,31,12.4193335,0,8,70,15,30,0.014670372,18.689085,1.28896236,1.57649982,0.0053216815,-0.903073668,1.47943079,1.170759,-0.808535635,0.58491534,-0.0643749163,0.5775688,0.7932072,0.192968011,0.192968011
0,1,2,32,12.5304451,0,8,70,14,30,0.00127029419,17.8931313,1.23975551,1.40766966,0.0157292858,0.2845755,0.9380376,0.8873314,-0.165783,-0.962528467,-0.21460405,-0.980623841,0.195727572,-0.00822942,0.00822942
1,1,1,33,12.7526665,0,8,70,14,30,0.0013237,23.0899982,1.33962512,1.30174148,0.0285913032,-0.272210658,0.9406803,0.8941384,0.217349634,-0.945887,-0.240949988,-0.971951842,-0.20012565,-0.12353006,0.12353006
0,0,10,34,12.9748888,0,8,70,14,30,0.02872181,25.7060165,1.26524246,1.283446,0.0263613537,0.325861931,1.97322547,1.47706723,0.181539923,0.982176542,-0.0487080179,0.981054842,-0.177194282,0.07831867,0.07831867
1,4,4,35,13.1971111,0,8,70,15,30,0.0153484344,22.0459442,1.15267694,1.5887202,0.006220937,-0.8956378,1.48772967,1.19283986,-0.671152,0.7239819,-0.159389943,0.701213956,0.67544353,0.2281995,0.2281995
0,1,3,36,13.4193335,0,8,70,14,30,0.00160884857,20.582653,1.42295158,1.4857471,0.0194658041,0.884678662,0.9229604,0.8971557,0.600269258,-0.7182263,-0.351891637,-0.787093341,-0.616217434,0.0275740623,0.0275740623
1,7,2,37,13.7526665,0,8,70,9,30,0.0292778015,20.4986534,1.52625358,1.26695371,0.114946008,0.3553747,1.0326705,1.49915087,0.8746274,-0.451443434,-0.176708058,-0.4817452,-0.8752419,-0.04328405,0.04328405
0,0,7,38,13.8637781,0,8,70,10,30,0.00208377838,21.72519,1.37239933,1.2407614,0.1016508,0.8089052,1.52248478,0.948857844,0.4455583,0.8271983,0.34237504,0.896155,-0.369370252,-0.245910317,0.245910317
1,4,4,39,14.086,0,8,70,14,30,0.0150775909,24.74101,1.26041949,1.8289398,0.0227588415,-0.8882289,1.50270855,1.19334579,-0.809673965,0.539622962,-0.230727538,0.517212152,0.840572059,0.161028475,0.161028475
0,1,2,40,14.3082228,0,8,70,14,30,0.0297803879,18.76461,1.08681858,1.50087321,0.011228621,0.3112155,0.9314691,1.49030113,-0.004071493,-0.99017626,-0.139765874,-0.998829663,0.0441218875,-0.019813031,0.019813031
1,1,1,41,14.5304451,0,8,70,10,30,0.0159187317,23.1740017,1.28199387,1.46264911,0.105805568,-0.404634863,0.9341852,1.18378472,0.00416420959,-0.990184069,-0.139707357,-0.988935232,0.0007369262,-0.148346066,0.148346066
0,5,7,42,14.8637781,0,8,70,13,30,0.0163660049,20.27113,1.25974834,1.34716284,0.0435847044,0.8706047,1.51503849,1.209775,0.752003551,0.635822654,0.173839435,0.674442351,-0.7274924,-0.126024917,0.126024917
1,4,4,43,14.9748888,0,8,70,13,30,0.0303087234,23.6732521,1.16971314,1.5114609,0.0314198732,-0.9239984,1.46057677,1.48567009,-0.6383048,0.7658379,0.07784121,0.7637969,0.597887039,0.243198127,0.243198127
0,1,2,44,15.1971111,0,8,70,11,30,0.0436687469,23.76166,1.12725866,1.47352457,0.0884436,0.383683443,0.9009713,1.75744164,-0.3047178,-0.9503713,-0.06278002,-0.946178436,0.311415553,0.088128604,0.088128604
0,5,7,45,15.3082228,0,8,70,13,30,0.0167188644,38.2253647,1.15099144,2.02172327,0.0315775275,0.9197879,1.45982492,1.197339,0.773430169,0.6332382,0.0285518542,0.626643538,-0.7421388,-0.237798244,0.237798244
