noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
1,8,1,26,7.54166651,0,8,70,14,30,0.000835895538,19.9517574,1.06730258,2.28219056,0.014390476,-0.314234883,0.9333522,0.930594146,-0.137514174,0.4943039,0.8583435,0.989187062,0.111894041,0.09480968,0.09480968
0,8,2,27,7.54166651,0,8,70,15,30,0.000835895538,22.7157688,1.09366429,1.8190707,0.006270796,0.293759823,0.93550086,0.9316535,0.0146545768,0.5245844,0.8512323,0.9951189,-0.08586688,0.04863605,0.04863605
1,8,0,28,7.986111,0,8,70,14,30,0.00215005875,22.0391369,1.342024,1.67017341,0.0207104683,-0.881810546,0.9253328,0.9371701,-0.435692936,-0.8599748,-0.265734881,-0.8782747,0.464376777,-0.113964409,0.113964409
0,8,1,29,7.986111,0,8,70,12,30,0.00215005875,19.6348457,1.26232553,1.49727821,0.0621207654,-0.245093718,0.907309055,0.943768263,-0.402597219,-0.8902988,-0.212799415,-0.8838637,0.444958746,-0.144210622,0.144210622
1,8,2,30,8.430555,0,8,70,13,30,0.000930786133,21.5409222,1.13080978,2.36229825,0.04949323,0.25444594,0.9276449,0.9395725,0.228445724,0.5323702,0.815103948,0.920410037,0.147837654,-0.361924529,0.361924529
0,8,3,31,8.430555,0,8,70,2,30,0.000930786133,20.7715664,1.20783579,1.67620254,0.253195733,0.668788433,0.995557,1.00519121,0.393790931,0.547109246,0.7386476,0.9131734,-0.239321351,-0.3299086,0.3299086
1,8,2,32,8.875,0,8,70,9,30,0.0155353546,25.986515,1.40122831,1.445313,0.117574133,0.405276448,0.9664394,1.13503635,0.235751227,-0.958713353,-0.159028515,-0.8954047,-0.274067074,0.350909919,0.350909919
0,8,1,33,8.875,0,8,70,11,30,0.0155353546,21.0751572,1.14947891,1.32426393,0.08734721,-0.369688332,0.980134964,1.15051568,-0.4061962,-0.831396759,-0.379188627,-0.797831237,0.525703967,-0.295128167,0.295128167
1,8,1,34,9.319445,0,8,67,9,30,0.00101089478,18.18936,0.9628821,2.123342,0.117678046,-0.409128666,0.9003796,0.8997439,-0.336982965,0.3359093,0.879549563,0.927349567,0.2938679,0.231656164,0.231656164
0,8,2,35,9.319445,0,8,66,14,30,0.00101089478,19.1403046,0.937383652,1.97880435,0.013146475,0.311883152,0.92958647,0.9253521,0.274332821,0.32458052,0.905201,0.903902769,-0.4088487,-0.125709474,0.125709474
1,8,1,36,9.763889,0,8,70,14,30,0.002073288,20.59267,1.27884865,1.6589098,0.0257824361,-0.325630635,0.9363116,0.924966156,-0.0504749231,-0.98401916,-0.170758814,-0.9941122,0.0527622551,-0.09464177,0.09464177
0,8,3,37,9.763889,0,8,70,13,30,0.002073288,19.76381,1.3629756,1.6758765,0.0326002836,0.8742275,0.914998949,0.9267258,0.6130702,-0.7311224,-0.299341232,-0.7905608,-0.612028062,-0.0208717287,0.0208717287
1,8,0,38,10.208333,0,8,70,14,30,0.00131511688,22.2315559,1.02596986,2.15960932,0.02957447,-0.8757525,0.94405663,0.9614751,-0.5749458,0.5074227,0.6418408,0.8198805,0.30761236,0.482877553,0.482877553
0,8,2,39,10.208333,0,8,70,14,30,0.00131511688,20.6551819,1.12549424,1.74973667,0.0194019973,0.319319576,0.9332825,0.947811544,0.0112337712,0.310718,0.9504358,0.9957509,-0.0864172,0.03181815,0.03181815
1,8,2,40,10.6527777,0,8,70,13,30,0.0163087845,26.6769276,1.39601409,1.4796766,0.0348660648,0.2695467,0.9185783,1.23302639,0.388454825,-0.8750978,-0.288629,-0.8734378,-0.446320832,0.19469,0.19469
0,8,1,41,10.6527777,0,8,70,14,30,0.0163087845,21.32449,1.11079,1.74580419,0.0123534054,-0.311041266,0.9379357,1.22220254,-0.195149109,-0.9271966,-0.319723666,-0.8937832,0.3072787,-0.326697767,0.326697767
0,8,3,42,11.0972223,0,8,70,14,30,0.00163936615,21.0885029,1.15635228,1.69171059,0.0125219971,0.909231961,0.928999841,0.9936232,0.6449156,0.236277863,0.726812661,0.737258554,-0.47567457,-0.479774654,0.479774654
1,8,1,43,11.0972223,0,8,70,13,30,-0.0127534866,20.0614262,1.244196,2.07650948,0.03816302,-0.2655034,0.948639631,0.7171533,-0.365141273,0.360793084,0.8581959,0.9039272,0.371548623,0.211818933,0.211818933
1,8,0,44,11.541667,0,8,70,12,30,0.00237751,22.3495884,1.420597,1.68991911,0.0638513,-0.8428069,0.9094922,0.9702945,-0.3543404,-0.9077524,-0.224562973,-0.895724237,0.398657948,-0.196850047,0.196850047
0,8,1,45,11.541667,0,8,70,13,30,0.00237751,20.68876,1.132383,1.77171278,0.0309230089,-0.32514143,0.95173943,0.9512326,-0.467351556,-0.8416989,-0.270417064,-0.8130329,0.5430401,-0.2099642,0.2099642
0,8,3,46,11.9861107,0,8,70,11,30,0.00169563293,22.2277031,1.1350733,1.790085,0.085920915,0.825448,0.9586425,0.999557436,0.486525953,0.547747254,0.680636048,0.8676823,-0.2756815,-0.413675427,0.413675427
1,8,2,47,11.9861107,0,8,70,10,30,-0.0127277374,23.5827522,1.09054911,2.13855743,0.09089312,0.2156074,0.9170323,0.7024399,0.152238458,0.554533839,0.818117142,0.928482,0.191762969,-0.318038166,0.318038166
1,8,3,48,12.4305553,0,8,70,10,30,0.003856659,26.5735054,1.50519109,1.5374,0.1093958,0.821666,0.8609923,0.9922141,0.5533456,-0.6958047,-0.457891256,-0.716061,-0.6757678,0.1749135,0.1749135
0,8,2,49,12.4305553,0,8,70,9,30,0.003856659,20.1680737,1.07315576,1.50953031,0.125962451,0.176011339,0.9497173,0.956515968,-0.04953441,-0.95608747,-0.288865238,-0.984330535,0.117486112,-0.131493837,0.131493837
1,8,1,50,12.875,0,8,70,12,30,0.00197029114,21.8293171,1.54463387,2.33490467,0.0527347922,-0.345656067,0.913098037,0.959277153,-0.399351329,0.2740233,0.874888361,0.865767,0.414422333,0.2805383,0.2805383
0,8,2,51,12.875,0,8,65,8,30,0.00197029114,18.1319771,0.9353316,1.82460773,0.137126982,0.4253825,0.8864566,0.947030663,0.3276603,0.2914945,0.898704469,0.914353,-0.3536569,-0.197193831,0.197193831
1,8,1,52,13.3194447,0,8,70,11,30,0.0032043457,23.559866,1.32179,1.83944893,0.08059403,-0.380114,0.9385602,0.9554059,-0.0421707667,-0.992468655,-0.115011163,-0.994043767,0.0450095572,-0.09925385,0.09925385
0,8,2,53,13.3194447,0,8,70,14,30,0.0032043457,19.2636337,1.01654637,1.77143347,0.0283788,0.27169323,0.936805844,0.962647,-0.04406738,-0.971810162,-0.231609538,-0.997461736,0.0660037249,-0.0267146081,0.0267146081
1,8,1,54,13.7638893,0,8,70,12,30,0.003107071,23.9449863,1.18341422,2.06020236,0.0530641153,-0.350019366,0.91998136,0.999126732,-0.290850639,0.379209936,0.8784109,0.942621052,0.2817961,0.179043561,0.179043561
0,8,3,55,13.7638893,0,8,70,15,30,0.003107071,26.7202148,1.19269586,1.554317,0.00230282545,0.901825845,0.9339962,1.0075841,0.6195081,0.560997248,0.549082756,0.7928512,-0.407506555,-0.453128576,0.453128576
1,8,1,56,14.208333,0,8,70,5,30,0.00354671478,30.4500465,1.35291994,1.633898,0.190163508,-0.116545618,0.959846735,0.9476449,0.0659631342,-0.9641658,-0.2569693,-0.964719236,-0.131051466,0.228346974,0.228346974
